ts_code,name,type,target_pe,target_div_yield,quality,note
601398,工商银行,国有大行,6.67,5.5,一般,文章实例: 0.91*6.67=6.07 / 0.266/5.5%=4.84
601288,农业银行,国有大行,6.67,5.5,一般,
601988,中国银行,国有大行,6.67,5.5,一般,
601939,建设银行,国有大行,6.67,5.5,一般,
601328,交通银行,国有大行,6.67,5.5,一般,
601658,邮储银行,国有大行,6.67,5.0,一般,
600036,招商银行,股份行,7.67,3.5,优秀,优秀股份行放宽到3%以上
601166,兴业银行,股份行,7.67,4.0,优秀,
000001,平安银行,股份行,6.67,4.0,一般,
601998,中信银行,股份行,6.67,5.0,一般,
601818,光大银行,股份行,6.67,5.0,一般,
600016,民生银行,股份行,6.67,5.0,一般,
600015,华夏银行,股份行,6.67,5.0,一般,
600000,浦发银行,股份行,6.67,5.0,一般,文章实例: 2.0*6.67=13.34 / 0.48/5%=9.6
601009,南京银行,城商行,7.67,4.5,优秀,文章实例: 1.3*7.67=9.97 / 0.393/4.5%=8.7
002142,宁波银行,城商行,7.67,3.0,优秀,
601838,成都银行,城商行,7.67,4.0,优秀,
600926,杭州银行,城商行,7.67,3.5,优秀,
600919,江苏银行,城商行,7.67,4.0,优秀,
601577,长沙银行,城商行,7.67,4.0,优秀,
601051,苏州银行,城商行,7.67,4.0,优秀,
601229,上海银行,城商行,6.67,5.0,一般,
601169,北京银行,城商行,6.67,5.0,一般,
601963,重庆银行,城商行,6.67,4.5,一般,
601187,厦门银行,城商行,6.67,4.5,一般,
601665,齐鲁银行,城商行,6.67,4.5,一般,
002936,郑州银行,城商行,6.67,4.5,一般,
002948,青岛银行,城商行,6.67,4.5,一般,
600928,西安银行,城商行,6.67,4.5,一般,
601128,常熟银行,农商行,7.67,3.5,优秀,
601825,沪农商行,农商行,6.67,5.0,一般,
601077,渝农商行,农商行,6.67,5.0,一般,
600908,无锡银行,农商行,6.67,4.5,一般,
603323,苏农银行,农商行,6.67,4.5,一般,
002839,张家港行,农商行,6.67,4.5,一般,
002807,江阴银行,农商行,6.67,4.5,一般,
601860,紫金银行,农商行,6.67,4.5,一般,
601528,瑞丰银行,农商行,6.67,4.5,一般,
002958,青农商行,农商行,6.67,4.5,一般,
