trade_date,ts_code,name,type,quality,close,target_pe,target_div_yield,dps_recent_fy,dps_fiscal_year,eps_last_annual,eps_natural_year_est,eps_growth_est,pe_natural_year,pe_static,pe_ttm_ref,pe_price,div_price,base_price,buy_price,signal,dv_ttm_ref,pb_ref,total_mv_yi
20260807,601818.SH,光大银行,股份行,一般,3.05,6.67,5.0,0.175,2025,0.58,0.54,0.5532584083401892,5.65,4.64,4.76,3.602,3.5,3.5,3.675,射击范围,5.74,0.36,1802.0
20260807,600016.SH,民生银行,股份行,一般,3.53,6.67,5.0,0.189,2025,0.63,0.613,0.6122573723591549,5.76,5.06,5.27,4.089,3.78,3.78,3.969,射击范围,5.35,0.27,1546.0
20260807,002807.SZ,江阴银行,农商行,一般,3.98,6.67,4.5,0.22,2025,0.8326,0.9488,0.9147799619337373,4.19,5.26,5.24,6.329,4.889,4.889,5.109,射击范围,5.03,0.54,108.0
20260807,603323.SH,苏农银行,农商行,一般,4.21,6.67,4.5,0.21,2025,1.01,1.198,1.1394233482761618,3.51,4.57,4.53,7.991,4.667,4.667,4.877,射击范围,4.53,0.48,93.0
20260807,002839.SZ,张家港行,农商行,一般,4.35,6.67,4.5,0.22,2025,0.77,0.816,0.7837562159323004,5.33,5.37,5.33,5.443,4.889,4.889,5.109,射击范围,5.06,0.56,106.0
20260807,601169.SH,北京银行,城商行,一般,5.01,6.67,5.0,0.278,2025,0.78,0.861,0.7366362141753192,5.82,5.27,5.16,5.743,5.56,5.56,5.838,射击范围,5.55,0.37,1059.0
20260807,601997.SH,贵阳银行,城商行,一般,5.59,6.67,4.5,0.3,2025,1.37,1.241,1.308965221540114,4.5,3.89,3.87,8.277,6.667,6.667,6.967,射击范围,5.37,0.31,204.0
20260807,601128.SH,常熟银行,农商行,优秀,6.12,7.67,3.5,0.27,2025,1.27,1.466,1.4312698412698412,4.17,5.29,5.14,11.244,7.714,7.714,7.984,射击范围,4.01,0.7,223.0
20260807,600015.SH,华夏银行,股份行,一般,6.73,6.67,5.0,0.42000000000000004,2025,1.62,1.719,1.6964716499716501,3.92,3.94,3.95,11.466,8.4,8.4,8.82,射击范围,6.24,0.33,1071.0
20260807,601998.SH,中信银行,股份行,一般,7.46,6.67,5.0,0.381,2025,1.2,1.275,1.233911969232093,5.85,5.88,5.83,8.504,7.62,7.62,8.001,射击范围,5.11,0.56,4151.0
20260807,601825.SH,沪农商行,农商行,一般,8.29,6.67,5.0,0.435,2025,1.28,1.365,1.3365213558831461,6.07,6.49,6.48,9.105,8.7,8.7,9.135,射击范围,5.25,0.61,800.0
20260807,601229.SH,上海银行,城商行,一般,9.21,6.67,5.0,0.52,2025,1.65,1.684,1.695587498343932,5.47,5.41,5.4,11.232,10.4,10.4,10.92,射击范围,5.65,0.52,1309.0
